Subject,Is_Calming_Music,Trial_Number,Difficulty,Letter_Ascii,Response_Time,Correct_Response,Actual_Response,Answered_Correctly
11,1,4,1,75,111,0,0,1
11,1,4,1,73,393,1,1,1
11,1,4,1,73,78,0,0,1
11,1,4,1,79,144,1,1,1
11,1,4,1,69,288,1,1,1
11,1,4,1,68,223,1,1,1
11,1,4,1,86,286,1,1,1
11,1,4,1,86,377,0,0,1
11,1,4,1,78,36,1,1,1
11,1,4,1,78,449,0,0,1
11,1,4,1,68,526,1,1,1
11,1,4,1,87,164,1,1,1
11,1,5,3,89,464,1,1,1
11,1,5,3,82,863,1,1,1
11,1,5,3,73,200,1,1,1
11,1,5,3,89,426,0,0,1
11,1,5,3,78,169,1,1,1
11,1,5,3,89,1379,1,1,1
11,1,5,3,88,890,1,1,1
11,1,5,3,70,631,1,1,1
11,1,5,3,72,323,0,1,0
11,1,5,3,85,358,1,1,1
11,1,5,3,85,381,1,0,0
11,1,5,3,87,763,1,1,1
11,1,5,3,85,531,0,1,0
11,1,5,3,72,706,0,1,0
11,1,5,3,70,411,1,1,1
11,1,5,3,73,500,1,1,1
11,1,5,3,86,955,1,1,1
11,1,6,1,82,492,1,1,1
11,1,6,1,79,41,1,1,1
11,1,6,1,80,30,1,1,1
11,1,6,1,80,231,0,0,1
11,1,6,1,80,495,0,0,1
11,1,6,1,85,585,1,1,1
11,1,6,1,90,47,1,1,1
11,1,6,1,85,308,1,1,1
11,1,6,1,77,377,1,1,1
11,1,6,1,77,439,0,1,0
11,1,6,1,87,190,1,1,1
11,1,6,1,73,71,1,1,1
11,1,6,1,70,36,1,1,1
11,1,6,1,65,15,1,1,1
11,1,6,1,71,403,1,1,1
11,1,6,1,71,256,0,0,1
11,1,6,1,82,1350,1,1,1
11,1,6,1,81,360,1,1,1
11,1,6,1,82,291,0,1,0
11,1,6,1,81,113,1,1,1
11,1,7,1,82,406,1,1,1
11,1,7,1,86,376,1,1,1
11,1,7,1,86,308,0,0,1
11,1,7,1,79,155,1,1,1
11,1,7,1,65,738,1,1,1
11,1,7,1,67,50,1,1,1
11,1,7,1,86,41,1,1,1
11,1,7,1,86,160,0,0,1
11,1,7,1,74,35,1,1,1
11,1,7,1,85,420,0,0,1
11,1,7,1,85,86,0,0,1
11,1,7,1,89,127,1,1,1
11,1,7,1,74,616,1,1,1
11,1,7,1,73,111,1,1,1
11,1,7,1,83,498,1,1,1
11,1,7,1,85,251,1,1,1
11,1,7,1,80,8,1,1,1
11,1,8,3,76,843,0,0,1
11,1,8,3,65,823,0,0,1
11,1,8,3,78,446,1,1,1
11,1,8,3,87,1105,1,1,1
11,1,8,3,76,786,1,1,1
11,1,8,3,87,882,0,0,1
11,1,8,3,85,266,1,1,1
11,1,8,3,83,1089,1,0,0
11,1,8,3,87,1230,0,0,1
11,1,8,3,70,226,1,1,1
11,1,8,3,76,685,1,1,1
11,1,8,3,89,259,0,0,1
11,1,8,3,85,325,1,1,1
11,1,8,3,76,1075,1,0,0
11,1,8,3,84,243,1,1,1
11,1,10,3,74,1344,1,1,1
11,1,10,3,90,328,1,1,1
11,1,10,3,81,444,1,1,1
11,1,10,3,87,818,1,1,1
11,1,10,3,75,673,1,1,1
11,1,10,3,81,403,1,0,0
11,1,10,3,83,279,1,1,1
11,1,10,3,77,958,1,1,1
11,1,10,3,81,303,1,0,0
11,1,10,3,83,114,0,1,0
11,1,10,3,70,165,0,1,0
11,1,10,3,81,414,0,0,1
11,1,10,3,70,548,0,0,1
11,1,10,3,75,731,1,1,1
11,1,10,3,88,585,1,0,0
11,1,10,3,75,30,1,1,1
11,1,10,3,82,1173,1,1,1
11,1,10,3,88,547,0,0,1
11,1,11,1,66,299,0,0,1
11,1,11,1,86,334,1,1,1
11,1,11,1,80,705,1,1,1
11,1,11,1,80,67,0,0,1
11,1,11,1,81,925,1,1,1
11,1,11,1,69,767,1,1,1
11,1,11,1,77,135,0,0,1
11,1,11,1,84,30,1,1,1
11,1,11,1,69,720,1,1,1
11,1,11,1,82,250,1,1,1
11,1,11,1,88,71,1,1,1
11,1,11,1,69,607,1,1,1
11,1,11,1,66,479,1,1,1
11,1,11,1,82,455,1,1,1
11,1,11,1,87,465,1,1,1
11,1,11,1,87,210,0,0,1
11,1,11,1,73,487,1,1,1
11,1,12,1,84,781,1,1,1
11,1,12,1,72,89,1,1,1
11,1,12,1,72,54,0,0,1
11,1,12,1,89,1043,1,1,1
11,1,12,1,71,277,1,1,1
11,1,12,1,71,114,0,0,1
11,1,12,1,71,491,0,0,1
11,1,12,1,89,279,1,1,1
11,1,12,1,87,436,1,1,1
11,1,12,1,87,455,0,0,1
11,1,12,1,85,895,1,1,1
11,1,12,1,65,141,1,1,1
11,1,12,1,85,218,1,1,1
11,1,12,1,82,417,1,1,1
11,1,12,1,87,574,1,1,1
11,1,12,1,80,158,1,1,1
11,1,12,1,81,247,1,1,1
11,1,12,1,65,55,1,1,1
11,1,12,1,65,85,0,0,1
11,1,12,1,76,329,1,1,1
11,1,13,3,74,685,1,1,1
11,1,13,3,86,347,1,1,1
11,1,13,3,78,107,1,1,1
11,1,13,3,74,434,1,0,0
11,1,13,3,86,204,0,0,1
11,1,13,3,78,401,0,0,1
11,1,13,3,85,296,1,1,1
11,1,13,3,86,277,0,0,1
